담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제2조,검토 필요,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제6조,검토 필요,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
교육체육과,군포시 장애인체육 진흥 조례,2015-01-01,제2조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제2조,검토 필요,전통무예진흥법,제2조제1호,내용변경,「전통무예진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제3조,검토 필요,전통무예진흥법,제3조,내용변경,「전통무예진흥법」 제3조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제4조,검토 필요,전통무예진흥법,제3조,내용변경,「전통무예진흥법」 제3조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
교육체육과,군포시 체육꿈나무 육성을 위한 지원 조례,2021-04-26,제1조,검토 필요,지방교육재정교부금법,제11조,내용변경,「지방교육재정교부금법」 제11조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비 (덧붙여 「지방교육재정교부금법」처럼 꺽쇠 서식으로 정정)
교육체육과,군포시 체육시설 관리ㆍ운영 조례,2024-07-09,제13조,검토 필요,재난 및 안전관리 기본법,제3조제1호,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비
교육체육과,군포시 평생학습마을 설치 및 운영에 관한 조례,2024-01-08,제12조,검토 필요,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
교육체육과,군포시청 직장운동경기부 설치 및 운영 조례,2023-12-12,제8조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
교육체육과,군포시청 직장운동경기부 설치 및 운영 조례,2023-12-12,제9조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
교육체육과,군포시청 직장운동경기부 설치 및 운영 조례 시행규칙,2023-12-12,제28조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제28조을(를) 검토·정비
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제1조,검토 필요,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제2조,검토 필요,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제16조,검토 필요,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제6조,검토 필요,재난 및 안전관리 기본법,제3조제1호,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제8조의3,검토 필요,도로교통법,제2조,내용변경,「도로교통법」 제2조 개정 내용을 반영하여 이 조례 제8조의3을(를) 검토·정비
교통행정과,군포시 도시교통 정비지역 내의 교통영향평가 대상사업 및 시설규모 적용지역 지정에 관한 조례,2018-10-08,제1조,검토 필요,도시교통정비촉진법,제3조,내용변경,「도시교통정비촉진법」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비 (덧붙여 「도시교통정비촉진법」처럼 꺽쇠 서식으로 정정)
교통행정과,군포시 버스공영차고지 운영 및 관리 조례,2024-10-02,제7조,검토 필요,수질 및 수생태계 보전에 관한 법률,,제명변경,인용한 「수질 및 수생태계 보전에 관한 법률」이(가) 현행 「물환경보전법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
교통행정과,군포시 버스공영차고지 운영 및 관리 조례,2024-10-02,제7조,검토 필요,소음ㆍ진동규제법,,제명변경,인용한 「소음ㆍ진동규제법」이(가) 현행 「소음ㆍ진동관리법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
교통행정과,군포시 사업용자동차 운송사업자 차고지 보유의무 면제 조례,2011-11-01,제1조,검토 필요,화물자동차 운수사업법 시행규칙,제13조,내용변경,「화물자동차 운수사업법 시행규칙」 제13조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
교통행정과,군포시 어르신 교통비 지원 조례,2025-05-08,제5조,검토 필요,여신전문금융업법,제2조,내용변경,「여신전문금융업법」 제2조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,검토 필요,도로교통법,제12조,내용변경,「도로교통법」 제12조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,검토 필요,도로교통법 시행규칙,제14조제1항,내용변경,「도로교통법 시행규칙」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,검토 필요,학원의 설립ㆍ운영 및 과외교습에 관한 법률,제2조,내용변경,「학원의 설립ㆍ운영 및 과외교습에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,검토 필요,도로교통법 시행규칙,제14조제2항,내용변경,「도로교통법 시행규칙」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,검토 필요,초ㆍ중등교육법,제60조의3,내용변경,「초ㆍ중등교육법」 제60조의3 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제6조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
